id,title,content,user_id,created_at,updated_at,tags
124,,In paris you aked me if I was afraid that we'd fall out of love,1,2022-10-11T19:02:00.000Z,2022-10-11T19:02:00.000Z,lyrics
125,,"They tell me I'm hell-bent on revenge

I cut my teeth on weaker men

I won't apologize again",1,2022-10-16T16:46:00.000Z,2022-10-16T16:46:00.000Z,lyrics
126,,"ITS MW HIIMTHEPROVLEMITZME

everhbodyagreeesss",1,2022-10-21T01:06:00.000Z,2022-10-21T01:06:00.000Z,lyrics
127,,"**Midnights**

Checkmate, I couldn’t lose

I miss you, but I miss sparkling

You know how much I hate that everybody just expects me to bounce back,   
just like that

From sprinkler splashes to fireplace ashes  
I gave my blood, sweat and tears for this  
I hosted parties and starved my body  
Like I'd be saved by a perfect kiss

The jokes weren't funny, I took the money  
My friends from home don't know what to say  
I looked around in a blood-soaked gown  
And I saw something they can't take away  

'Cause there were pages turned with the bridges burned  
Everything you lose is a step you take   
So make the friendship bracelets  
Take the moment and taste it  
You've got no reason to be afraid  

You're on your own, kid  
Yeah, you can face this  
You're on your own, kid  
You always have been  

So I wander through these nights  
I prefer hiding in plain sight  
My fourth drink in my hand  
These desperate prayers of a cursed man  
Spilling out to you for free  
But darling, darling, please  
You wouldn't take my word for it if you knew who was talking  
If you knew where I was walking  
To a house, not a home, all alone 'cause nobody's there  
",1,2022-10-22T18:12:00.000Z,2022-10-22T18:12:00.000Z,lyrics
128,,So where is this person who only wants from me sweet nothings,1,2022-10-23T23:47:00.000Z,2022-10-23T23:47:00.000Z,thoughts
129,,I mean you can't sit on 10 billion dollars worth of boards,1,2022-11-02T16:42:00.000Z,2022-11-02T16:42:00.000Z,quotes
130,,Your ex-friend's sister met someone at a club and he kissed her turns out it was that guy you hooked up with ages ago some wannabe z-lister and all the outfits were terrible 2003 unbearable did you see the photo no I didn't but thanks though,1,2022-11-08T15:40:00.000Z,2022-11-08T15:40:00.000Z,lyrics
131,,I finally settled into my role as a senior by not doing the hw that is due tonight because there's always tomorrow,1,2022-11-11T00:04:00.000Z,2022-11-11T00:04:00.000Z,thoughts
132,,会是浪费了吗,1,2022-11-16T21:08:32.148Z,2022-11-16T21:08:32.148Z,moments
133,,Lord Jesus Christ,1,2022-11-20T05:57:53.709Z,2022-11-20T05:57:53.709Z,moments
134,,"I can still melt your world, argumentative antithetical dream girl!

I hear your keys turn in the door down the hallway, is that your key in the door, is it ok? Is it you? 

OR HAVE THEY COME TO TAKE ME AWAYYYYY",1,2022-11-23T02:04:00.000Z,2022-11-23T02:04:00.000Z,lyrics
135,,it ain’t the permanent revolution the perpetual edict the eternal sunshine of the whatever mind,1,2022-12-01T00:15:56.358Z,2022-12-01T00:15:56.358Z,thoughts
136,,I hate that I'm so easily convinced,1,2023-02-03T23:52:25.192Z,2023-02-03T23:52:25.192Z,thoughts
137,,突然有种春秋一梦将醒，无量大厦将倾的感觉,1,2023-02-07T02:52:20.373Z,2023-02-07T02:52:20.373Z,thoughts
138,,"我总是天真的以为 没什么是不可能的  
在阳光明媚的未来 我还会遇到无数的人呢",1,2023-02-07T05:31:23.442Z,2023-02-07T05:31:23.442Z,lyrics
139,,You’re 22 and still living in my house there is no god.,1,2023-02-13T01:08:27.931Z,2023-02-13T01:08:27.931Z,quotes
140,,"I thought that everybody gets older, but I guess that's not the case. 'Cause you said goodbye to your family last night, you were only twenty-eight. And the year is gonna get a lot colder, but you'll always be stuck in June. When the trees turn red, will it hit me then. That I'm not gonna see you soon?   

I guess the hardest part of getting old   
Is that some people that you love don't",1,2023-02-17T03:43:00.000Z,2023-02-17T03:43:00.000Z,lyrics
141,,"Dressed in your best  

One Last Deep Breath  

Turn towards the sun",1,2023-02-17T19:10:28.167Z,2023-02-17T19:10:28.167Z,lyrics
142,,I know I typically have it but I'm letting my grip go,1,2023-02-20T02:21:06.750Z,2023-02-20T02:21:06.750Z,lyrics
143,,何夜无月？何处无竹柏？,1,2023-02-27T02:27:14.041Z,2023-02-27T02:27:14.041Z,quotes
144,,It's the fucking wurthering heights out here,1,2023-03-04T07:26:00.000Z,2023-03-04T07:26:00.000Z,thoughts
145,,"她和我们不一样，还要继续向前呢   

但很可惜，我们的故事已经结束了  
所以过去的人，就让他留在过去吧   

这一次，我们也要在这里分开吗？  
不，这一次，我们一起走到最后  

这是一个关于爱的故事  
它也将有一个，属于爱的结局  
你看，我们留下的足迹  
不论何时，它就在这里  
",1,2023-03-05T06:30:00.000Z,2023-03-05T06:30:00.000Z,quotes
146,,I realized my mode of traveling is really vacating,1,2023-04-02T05:07:00.000Z,2023-04-02T05:07:00.000Z,thoughts
147,,一人 一晚 一个奇迹,1,2023-04-04T03:30:11.342Z,2023-04-04T03:30:11.342Z,moments
148,,don't let perfect get in the way of GOOOD,1,2023-04-05T19:52:49.029Z,2023-04-05T19:52:49.029Z,quotes
149,,又是吃猪食的一天呢,1,2023-04-08T00:48:00.000Z,2023-04-08T00:48:00.000Z,moments
150,,when ur college refuses to feed u and u have to #wineanddine,1,2023-04-11T01:29:00.000Z,2023-04-11T01:29:00.000Z,moments
151,,"always the villain, never the victim",1,2023-04-13T08:11:00.000Z,2023-04-13T08:11:00.000Z,thoughts
152,,tfw ur professor spills more hot steaming boiling tea than any of ur friends XD,1,2023-04-25T18:58:59.231Z,2023-04-25T18:58:59.231Z,thoughts
153,,背水一战,1,2023-05-01T09:01:00.000Z,2023-05-01T09:01:00.000Z,moments
154,,You know what I call an afternoon while I'm getting drunk? An afternoon!,1,2023-05-03T22:49:00.000Z,2023-05-03T22:49:00.000Z,moments
155,,Final Paper Submission:,1,2023-05-08T02:31:00.000Z,2023-05-08T02:31:00.000Z,moments
156,,it's the jacuzzing in 90 degrees for me,1,2023-05-11T20:08:00.000Z,2023-05-11T20:08:00.000Z,moments
157,,Don't waste the rest of your years simmering in the maggot broth of memory,1,2023-05-13T18:57:00.000Z,2023-05-13T18:57:00.000Z,quotes
158,,the end of it all,1,2023-05-23T21:48:00.000Z,2023-05-23T21:48:00.000Z,moments
159,,Excited to fly,1,2023-05-31T07:03:00.000Z,2023-05-31T07:03:00.000Z,thoughts
160,,神啊救救我吧一把年纪了,1,2023-06-05T18:24:00.000Z,2023-06-05T18:24:00.000Z,lyrics
161,,自暴自弃鸭,1,2023-06-11T03:42:00.000Z,2023-06-11T03:42:00.000Z,moments
162,,legit ate 10 meals today,1,2023-06-12T05:29:00.000Z,2023-06-12T05:29:00.000Z,moments
163,,what I dont have in grace can I make it up with madness?,1,2023-06-14T19:53:00.000Z,2023-06-14T19:53:00.000Z,thoughts
164,,Life After Life,1,2023-06-23T03:15:00.000Z,2023-06-23T03:15:00.000Z,moments
165,,"what she said to me, it still echoes",1,2023-06-24T20:36:00.000Z,2023-06-24T20:36:00.000Z,thoughts
166,,"just one time, won't burn me",1,2023-07-05T06:59:00.000Z,2023-07-05T06:59:00.000Z,lyrics
167,,"They close the parkway late last night, and as I say with the echoes of the lies that I told, I felt young, never change",1,2023-07-08T01:27:00.000Z,2023-07-08T01:27:00.000Z,lyrics
168,,the eight phones for four people kinda vacation,1,2023-07-17T05:34:00.000Z,2023-07-17T05:34:00.000Z,moments
169,,"First of all, I'm an american, so I don't have to understand anything",1,2023-07-23T08:56:00.000Z,2023-07-23T08:56:00.000Z,quotes
170,,"America, I need a miracle",1,2023-07-31T01:09:00.000Z,2023-07-31T01:09:00.000Z,lyrics
171,,HOLY SHIT I THINK IM GOING TO SEE TAYLOR SWIFT ITS A MIRACLE,1,2023-08-01T17:23:00.000Z,2023-08-01T17:23:00.000Z,moments
172,,Today is the perfect day to be a Taylor Swift fan. So was yesterday. So is tomorrow. And every day from now on until forever!,1,2023-08-06T06:47:00.000Z,2023-08-06T06:47:00.000Z,moments
173,,Whenever I feel d pressed about being old i think of xiaozhan and then im ok,1,2023-08-18T01:22:00.000Z,2023-08-18T01:22:00.000Z,thoughts
174,,drinking Paula's Choice LMFAOO,1,2023-09-06T04:14:00.000Z,2023-09-06T04:14:00.000Z,quotes
175,,I dont wanna be that person but I would literally be that person,1,2023-09-08T23:08:00.000Z,2023-09-08T23:08:00.000Z,thoughts
176,,every day in NYC is an embarrassment,1,2023-09-12T19:43:00.000Z,2023-09-12T19:43:00.000Z,thoughts
177,,"Downtown E runs via the F after 5 Ave/53 St to 2 Ave, the last stop. No E between W 4th St-Wash Sq and World Trade Center.",1,2023-09-15T22:21:00.000Z,2023-09-15T22:21:00.000Z,quotes
178,,This is a Brooklyn bound F train via the E line.,1,2023-09-17T04:39:00.000Z,2023-09-17T04:39:00.000Z,quotes
179,,my plans get rain checked like literally every other weekend in New York kms,1,2023-09-29T19:30:00.000Z,2023-09-29T19:30:00.000Z,moments
180,,Said don’t look down and then you do you put your past on me and you think you got problems well I have too you ran from love thats nothing new,1,2023-10-17T06:50:14.277Z,2023-10-17T06:50:14.277Z,lyrics
181,,"the temptation to delete comments is great but I keep reminding myself that it is just an exercise in strength and acceptance, to go public means to embrace criticism, no one can live in a greenhouse of praise eternally",1,2023-10-17T22:03:43.851Z,2023-10-17T22:03:43.851Z,thoughts
182,,可是现在呢？你说呢？,1,2023-10-25T00:19:59.986Z,2023-10-25T00:19:59.986Z,thoughts
183,,I didn't come here to make friends,1,2023-10-27T23:46:00.000Z,2023-10-27T23:46:00.000Z,lyrics
184,,难道不是吗？我的孤傲，无需言表。,1,2023-11-04T03:38:09.046Z,2023-11-04T03:38:09.046Z,thoughts
185,,好きってことさ。仆は君に会う为に生まれてきたのかもしれない。ありがとう。君に会えて嬉しかったよ。,1,2023-11-05T04:38:27.342Z,2023-11-05T04:38:27.342Z,lyrics
186,,I’ll keep my lanterns lit,1,2023-11-12T09:51:16.466Z,2023-11-12T09:51:16.466Z,lyrics
187,,summer to snow in one day,1,2023-11-13T07:05:00.000Z,2023-11-13T07:05:00.000Z,moments
188,,everyday I tell myself gluttony is a sin but,1,2023-11-14T04:21:00.000Z,2023-11-14T04:21:00.000Z,moments
189,,"istg tmr i will starve, tmr...",1,2023-11-14T18:42:00.000Z,2023-11-14T18:42:00.000Z,thoughts
190,,six months later I'm still here,1,2023-11-18T22:35:00.000Z,2023-11-18T22:35:00.000Z,thoughts
191,,Everyday in Turkey is show and tell,1,2023-11-21T20:52:00.000Z,2023-11-21T20:52:00.000Z,moments
192,,how did I slip on this fucking street and am now seizing on the stairs,1,2023-11-29T04:42:00.000Z,2023-11-29T04:42:00.000Z,moments
193,,so why am I crying at the gym again,1,2023-12-01T21:06:00.000Z,2023-12-01T21:06:00.000Z,moments
194,,"I don't believe in sunbathing, I believe in seeking shade",1,2023-12-02T23:59:00.000Z,2023-12-02T23:59:00.000Z,thoughts
195,,"Sometimes I think, hmmm, wouldn't that be nice. Then I'm reminded that actually, it is indeed not that nice.",1,2023-12-07T08:02:00.000Z,2023-12-07T08:02:00.000Z,thoughts
196,,if life gives you lemons... you're probably dyslexic,1,2023-12-11T23:17:00.000Z,2023-12-11T23:17:00.000Z,quotes
197,,"TO THOSE WHO FEAR, BUT JUMP ANYWAY",1,2023-12-14T21:17:00.000Z,2023-12-14T21:17:00.000Z,quotes
198,,"just because it didn't work doesn't mean it's meaningless to me, just wasn't meant to be",1,2023-12-23T18:32:00.000Z,2023-12-23T18:32:00.000Z,lyrics
199,,你一定要胜利。18岁的文东恩和36岁的文东恩，我都支持。,1,2024-01-08T02:34:00.000Z,2024-01-08T02:34:00.000Z,quotes
200,,你的幸福吵到了整个爱丁堡,1,2024-01-12T22:21:00.000Z,2024-01-12T22:21:00.000Z,quotes
201,,deutschebahn cancelling trains left and right imma kms,1,2024-01-18T02:14:00.000Z,2024-01-18T02:14:00.000Z,moments
202,,the way people can talk about donuts for an hour I hope I never become geriatric,1,2024-01-20T04:48:00.000Z,2024-01-20T04:48:00.000Z,thoughts
203,,If i cant make it onto this one its mcdonalds for me,1,2024-01-26T00:23:00.000Z,2024-01-26T00:23:00.000Z,moments
204,,Flying standby is such a thrilling experience this is crazy. If you want some fun in life definitely will recommend!,1,2024-01-26T02:52:00.000Z,2024-01-26T02:52:00.000Z,thoughts
205,,普通的人生 普通的活法 但我不想普通的过,1,2024-02-02T01:32:00.000Z,2024-02-02T01:32:00.000Z,lyrics
206,,I don't think I'd need wisdom beyond my years. I just need wisdom. Not years.,1,2024-02-10T06:40:30.335Z,2024-02-10T06:40:30.335Z,thoughts
207,,"It is all very interesting, what is happening",1,2024-02-12T07:57:00.000Z,2024-02-12T07:57:00.000Z,quotes
208,,I love when I keep typing and clicking send faster than I can think about wbhat I typed,1,2024-02-12T23:31:30.697Z,2024-02-12T23:31:30.697Z,thoughts
209,,functionally how are clubbing and jumproping different???,1,2024-02-18T10:03:55.000Z,2024-02-18T10:03:55.000Z,thoughts
210,,Thank you for choosing United,1,2024-02-20T09:48:10.000Z,2024-02-20T09:48:10.000Z,quotes
211,,"Wait a minute, hold up a second Don't leave me here with this feeling, like I'm the one full of regret Like I never did good for us both, like you never did Pull out that weapon And stick that knife in my back, was I supposed to accept it When your words are like More than just sticks and stones, kinda like a bullet A hollow tip that's lodged in my bones, and I can't just swallow it  

My pride is more than all that I own, so I gotta give it away And some of the times I'm all the way wrong But can't you see past me and see my fucked up home That made me the meanest, the devil is just singing along To the song I write 'til I'm alone at night And I hang up the phone and bite my tongue 'Cause I know that me and you is just only right, but One, one, one, one...",1,2024-02-21T01:12:42.000Z,2024-02-21T01:12:42.000Z,lyrics
212,,barista gave me free coffee and I didn't know how to behave,1,2024-02-25T03:33:37.000Z,2024-02-25T03:33:37.000Z,thoughts
213,,今天也是丧家之犬在街上逃窜的一天呢,1,2024-02-27T00:52:54.000Z,2024-02-27T00:52:54.000Z,thoughts
214,,但这次我不想沉默,1,2024-02-28T17:22:08.000Z,2024-02-28T17:22:08.000Z,lyrics
215,,"for someone who is supposed to be pragmatic, I love delusion",1,2024-03-04T07:43:26.000Z,2024-03-04T07:43:26.000Z,thoughts
216,,birthday for one,1,2024-03-14T07:02:18.000Z,2024-03-14T07:02:18.000Z,moments
217,,"now you're out of my way, and im running out of thing i could say, and i think about you every day, and the memories fade. im finally fine without you. lifes NOT a race, I really hope you find your own pace. and I wish someday you feel the same. cuz ill be ok im finally fine without you",1,2024-03-15T01:18:46.000Z,2024-03-15T01:18:46.000Z,lyrics
218,,Fingers Crossed for OW RTW DONE4,1,2024-03-15T04:48:59.000Z,2024-03-15T04:48:59.000Z,moments
219,,you got me misunderstood but at least I look this good,1,2024-03-17T03:12:20.000Z,2024-03-17T03:12:20.000Z,lyrics
220,,Do I really like coding or do I just like when things work out the way I want them to,1,2024-03-24T08:58:20.000Z,2024-03-24T08:58:20.000Z,thoughts
221,,it pains me to say Hong Kong is over,1,2024-03-25T20:33:45.000Z,2024-03-25T20:33:45.000Z,quotes
222,,Harvey Milk is the best terminal in America,1,2024-03-27T02:49:03.664Z,2024-03-27T02:49:03.664Z,moments
